Regel;Tijdstip aangemaakt;Meldingsoort;Melding;Referentie
166;2019-08-18 02:03:57.440274;Transactie;Database changes committed.;
167;2019-08-18 02:03:57.443899;Mededeling;The task 'Import reference data Health Statements into Data Mart' ended.;
168;2019-08-18 02:03:57.443977;Transactie;Database changes committed.;
169;2019-08-18 02:03:57.595672;Mededeling;The task 'Import health statement agreements into Data Mart' started.;
170;2019-08-18 02:03:57.595732;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_healthStatement_00983.xml.gz' has been initialized.;
171;2019-08-18 02:03:57.595771;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_healthStatement_00983.xml.gz' has been successfully completed.;
172;2019-08-18 02:03:57.595839;Transactie;Database changes committed.;
173;2019-08-18 02:03:57.599582;Mededeling;0 health statement(s) are successfully imported, 0 health statement(s) have not been imported due to errors.;
174;2019-08-18 02:03:57.59964;Mededeling;The task 'Import health statement agreements into Data Mart' ended.;
175;2019-08-18 02:03:57.599684;Transactie;Database changes committed.;
176;2019-08-18 02:03:57.630397;Mededeling;The task 'Import reference data Loyalty Point Transactions into Data Mart' started.;
177;2019-08-18 02:03:57.630438;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_loyaltypointtransactions_ref_00983.xml.gz' has been initialized.;
178;2019-08-18 02:03:57.630461;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_loyaltypointtransactions_ref_00983.xml.gz' has been successfully completed.;
179;2019-08-18 02:03:57.630483;Transactie;Database changes committed.;
180;2019-08-18 02:03:57.635695;Mededeling;The task 'Import reference data Loyalty Point Transactions into Data Mart' ended.;
181;2019-08-18 02:03:57.635754;Transactie;Database changes committed.;
182;2019-08-18 02:03:57.662768;Mededeling;The task 'Import main entities Loyalty Point Transactions into Data Mart' started.;
183;2019-08-18 02:03:57.662828;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_LoyaltyPointTransactions_00983.xml.gz' has been initialized.;
184;2019-08-18 02:03:57.662866;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_LoyaltyPointTransactions_00983.xml.gz' has been successfully completed.;
185;2019-08-18 02:03:57.662901;Transactie;Database changes committed.;
186;2019-08-18 02:03:57.668004;Mededeling;0 Loyalty point transaction(s) are successfully imported, 0 Loyalty point transaction(s) have not been imported due to errors.;
187;2019-08-18 02:03:57.668059;Mededeling;The task 'Import main entities Loyalty Point Transactions into Data Mart' ended.;
188;2019-08-18 02:03:57.668101;Transactie;Database changes committed.;
189;2019-08-18 02:03:57.786664;Mededeling;The task 'Import Reference data ledger entries to MIS' started.;
190;2019-08-18 02:03:57.78672;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_ledgerEntries_ref_00983.xml.gz' has been initialized.;
191;2019-08-18 02:03:57.786761;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_ledgerEntries_ref_00983.xml.gz' has been successfully completed.;
192;2019-08-18 02:03:57.786795;Transactie;Database changes committed.;
193;2019-08-18 02:03:57.791775;Mededeling;The task 'Import Reference data ledger entries to MIS' ended.;
194;2019-08-18 02:03:57.791828;Transactie;Database changes committed.;
195;2019-08-18 02:04:29.881453;Mededeling;The task 'Import ledger entries to MIS' started.;
196;2019-08-18 02:04:29.881533;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_ledgerEntries_00983.xml.gz' has been initialized.;
197;2019-08-18 02:04:29.881555;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_ledgerEntries_00983.xml.gz' has been successfully completed.;
198;2019-08-18 02:04:29.881579;Mededeling;The first  231 ledger entry (entries) are being imported into Data Mart.;
199;2019-08-18 02:04:29.881603;Transactie;Database changes committed.;
200;2019-08-18 02:04:30.281572;Transactie;Database changes committed.;
201;2019-08-18 02:04:30.287189;Mededeling;231 ledger entry (entries) are successfully imported, 0 ledger entry (entries) have not been imported due to errors.;
202;2019-08-18 02:04:30.287254;Mededeling;The task 'Import ledger entries to MIS' ended.;
203;2019-08-18 02:04:30.287276;Transactie;Database changes committed.;
204;2019-08-18 02:39:17.98508;Mededeling;The task 'Import journal entries to MIS' started.;
205;2019-08-18 02:39:17.985134;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_journalEntries_00983.xml.gz' has been initialized.;
206;2019-08-18 02:39:17.985157;Mededeling;In total 1,001 Journal entries are imported into Data Mart within this task.;
207;2019-08-18 02:39:17.985188;Transactie;Database changes committed.;
208;2019-08-18 02:39:41.551045;Transactie;Database changes committed.;
209;2019-08-18 02:39:52.378401;Mededeling;In total 2,001 Journal entries are imported into Data Mart within this task.;
210;2019-08-18 02:39:52.378481;Transactie;Database changes committed.;
